CareerAgeZero,pubs_adj,ix,pubs_adj_next,q_adj_delta
0,3.662293067712164,0,1.4118190972118905,-2.2504739705002734
1,1.4118190972118905,0,7.461091187580694,6.049272090368803
2,7.461091187580694,0,7.370856105591285,-0.09023508198940888
3,7.370856105591285,0,4.917952626859711,-2.4529034787315735
4,4.917952626859711,0,22.227446755049325,17.309494128189613
5,22.227446755049325,0,14.838997865808773,-7.388448889240552
6,14.838997865808773,0,8.283088038632851,-6.555909827175922
7,8.283088038632851,0,9.685184418141423,1.4020963795085724
8,9.685184418141423,0,4.50652703153202,-5.1786573866094034
9,4.50652703153202,0,7.207200461482197,2.700673429950177
10,7.207200461482197,0,7.199358228298724,-0.007842233183472658
11,7.199358228298724,0,2.8607375327630944,-4.33862069553563
12,2.8607375327630944,0,0.9157791566981408,-1.9449583760649536
13,0.9157791566981408,0,1.813987683977175,0.8982085272790341
14,1.813987683977175,0,2.3652691098802037,0.5512814259030288
15,2.3652691098802037,0,10.834206253254484,8.46893714337428
16,10.834206253254484,0,13.209740856892669,2.375534603638185
17,13.209740856892669,0,25.321306798974955,12.111565942082287
18,25.321306798974955,0,24.48647005671118,-0.834836742263775
19,24.48647005671118,0,20.16223243030535,-4.324237626405829
0,2.2890534891655654,1,6.735227392537032,4.4461739033714665
1,6.735227392537032,1,7.658677686777496,0.9234502942404639
2,7.658677686777496,1,4.143600251145755,-3.515077435631741
3,4.143600251145755,1,9.82036643925629,5.676766188110535
4,9.82036643925629,1,17.328588893746673,7.508222454490383
5,17.328588893746673,1,15.69817497381636,-1.6304139199303123
6,15.69817497381636,1,13.230033807240543,-2.4681411665758173
7,13.230033807240543,1,9.23389657947353,-3.9961372277670133
8,9.23389657947353,1,11.424779387957106,2.1908828084835754
9,11.424779387957106,1,12.89914277462691,1.474363386669804
10,12.89914277462691,1,7.4564465720754125,-5.442696202551497
11,7.4564465720754125,1,7.778897665035743,0.32245109296033014
12,7.778897665035743,1,5.667645304968801,-2.111252360066942
13,5.667645304968801,1,8.81850411042323,3.1508588054544298
14,8.81850411042323,1,22.343341316392717,13.524837205969487
15,22.343341316392717,1,22.63405259954964,0.29071128315692363
16,22.63405259954964,1,2.7430439009186554,-19.891008698630984
17,2.7430439009186554,1,0.046611555250208436,-2.696432345668447
18,0.046611555250208436,1,2.4138002614311778,2.3671887061809693
19,2.4138002614311778,1,5.046308851926027,2.6325085904948495
0,0.22375311892326208,2,5.6312060829679425,5.407452964044681
1,5.6312060829679425,2,5.525164462089599,-0.10604162087834368
2,5.525164462089599,2,15.63606265329028,10.11089819120068
3,15.63606265329028,2,11.65852571590535,-3.9775369373849294
4,11.65852571590535,2,9.02582713021274,-2.6326985856926104
5,9.02582713021274,2,21.443733840499913,12.417906710287173
6,21.443733840499913,2,12.248437800381652,-9.195296040118262
7,12.248437800381652,2,0.1783804070266779,-12.070057393354974
8,0.1783804070266779,2,2.441308756568249,2.2629283495415713
9,2.441308756568249,2,8.82604149444119,6.384732737872941
10,8.82604149444119,2,0.4689570491577699,-8.35708444528342
11,0.4689570491577699,2,2.843174510424485,2.3742174612667153
12,2.843174510424485,2,10.234674202049764,7.391499691625278
13,10.234674202049764,2,8.150956862152555,-2.083717339897209
14,8.150956862152555,2,8.143009471625867,-0.007947390526688025
15,8.143009471625867,2,6.450888466432938,-1.692121005192929
16,6.450888466432938,2,5.578004768843576,-0.8728836975893612
17,5.578004768843576,2,9.451169823262,3.873165054418423
18,9.451169823262,2,10.571136372222151,1.1199665489601518
19,10.571136372222151,2,6.973469431926979,-3.5976669402951718
0,3.383543295732945,3,1.563419411019635,-1.82012388471331
1,1.563419411019635,3,9.932353667664477,8.368934256644842
2,9.932353667664477,3,4.2245630939110494,-5.707790573753428
3,4.2245630939110494,3,8.534465656701055,4.309902562790006
4,8.534465656701055,3,11.420308851344728,2.885843194643673
5,11.420308851344728,3,8.918378213470262,-2.501930637874466
6,8.918378213470262,3,11.85394204948252,2.935563836012257
7,11.85394204948252,3,12.729466771849314,0.8755247223667944
8,12.729466771849314,3,2.985354932673621,-9.744111839175693
9,2.985354932673621,3,2.4597825196781695,-0.5255724129954515
10,2.4597825196781695,3,2.8168559832454516,0.3570734635672821
11,2.8168559832454516,3,1.3304968751575381,-1.4863591080879135
12,1.3304968751575381,3,1.7740363077515262,0.4435394325939881
13,1.7740363077515262,3,2.0020723298141343,0.2280360220626081
14,2.0020723298141343,3,1.061469990236819,-0.9406023395773153
15,1.061469990236819,3,4.344335198261814,3.282865208024995
16,4.344335198261814,3,4.8466436353486815,0.5023084370868673
17,4.8466436353486815,3,7.761878219833589,2.9152345844849075
18,7.761878219833589,3,9.356332475897712,1.5944542560641235
19,9.356332475897712,3,7.806894498686802,-1.5494379772109106
0,0.7535046323877383,4,2.878861257110685,2.1253566247229463
1,2.878861257110685,4,1.2741168183274119,-1.604744438783273
2,1.2741168183274119,4,0.16859320309962722,-1.1055236152277845
3,0.16859320309962722,4,6.418568115694454,6.249974912594826
4,6.418568115694454,4,6.121669446422272,-0.29689866927218134
5,6.121669446422272,4,10.754895962500068,4.633226516077796
6,10.754895962500068,4,9.173394883939078,-1.58150107856099
7,9.173394883939078,4,16.718539056759713,7.545144172820635
8,16.718539056759713,4,12.593377055564744,-4.125162001194969
9,12.593377055564744,4,4.131144397099524,-8.46223265846522
10,4.131144397099524,4,11.06856927732143,6.937424880221906
11,11.06856927732143,4,11.615200326354177,0.5466310490327473
12,11.615200326354177,4,7.9722916643107045,-3.6429086620434727
13,7.9722916643107045,4,3.9276492529775986,-4.044642411333106
14,3.9276492529775986,4,4.5668992533650865,0.6392500003874879
15,4.5668992533650865,4,11.054818684163239,6.4879194307981525
16,11.054818684163239,4,10.01521021834651,-1.0396084658167286
17,10.01521021834651,4,8.15524886571918,-1.8599613526273302
18,8.15524886571918,4,3.1118329463593306,-5.04341591935985
19,3.1118329463593306,4,5.848635688179311,2.73680274181998
0,3.144518332989122,5,1.1324560024644854,-2.012062330524637
1,1.1324560024644854,5,13.626420823337076,12.493964820872591
2,13.626420823337076,5,4.270507091768752,-9.355913731568325
3,4.270507091768752,5,0.010512682122187478,-4.2599944096465645
4,0.010512682122187478,5,0.021810365471663474,0.011297683349475996
5,0.021810365471663474,5,8.800341331901889,8.778530966430225
6,8.800341331901889,5,6.611445819683799,-2.1888955122180898
7,6.611445819683799,5,11.015311787499257,4.403865967815459
8,11.015311787499257,5,9.699206670854112,-1.3161051166451454
9,9.699206670854112,5,8.565189523510224,-1.1340171473438883
10,8.565189523510224,5,5.325467557136376,-3.239721966373848
11,5.325467557136376,5,3.0177207710341047,-2.307746786102271
12,3.0177207710341047,5,5.426758703583545,2.40903793254944
13,5.426758703583545,5,5.20356788239067,-0.22319082119287437
14,5.20356788239067,5,2.6688758780549735,-2.534692004335697
15,2.6688758780549735,5,6.126470268750781,3.4575943906958075
16,6.126470268750781,5,4.373780147539612,-1.7526901212111694
17,4.373780147539612,5,5.139916239071663,0.7661360915320516
18,5.139916239071663,5,16.53011870789695,11.390202468825287
19,16.53011870789695,5,6.528066236192105,-10.002052471704845
0,1.342021451510691,6,2.915579060383034,1.5735576088723429
1,2.915579060383034,6,3.124159044555546,0.20857998417251222
2,3.124159044555546,6,0.03066087806706541,-3.0934981664884806
3,0.03066087806706541,6,2.0817022859674146,2.051041407900349
4,2.0817022859674146,6,5.35142462125429,3.269722335286876
5,5.35142462125429,6,5.3327768298892435,-0.018647791365046906
6,5.3327768298892435,6,17.757482143936524,12.42470531404728
7,17.757482143936524,6,6.641824938000486,-11.115657205936039
8,6.641824938000486,6,7.294147310507157,0.6523223725066707
9,7.294147310507157,6,7.084298823085545,-0.20984848742161155
10,7.084298823085545,6,7.098977842196834,0.01467901911128866
11,7.098977842196834,6,8.802087555825564,1.7031097136287299
12,8.802087555825564,6,1.8634912436282445,-6.938596312197319
13,1.8634912436282445,6,0.3627018443428509,-1.5007893992853936
14,0.3627018443428509,6,0.907851040550983,0.5451491962081321
15,0.907851040550983,6,10.470237246358508,9.562386205807524
16,10.470237246358508,6,5.347477133133838,-5.12276011322467
17,5.347477133133838,6,3.954851185111674,-1.3926259480221637
18,3.954851185111674,6,1.7828906041024422,-2.171960581009232
19,1.7828906041024422,6,5.619839843258092,3.8369492391556497
0,3.553289735715077,7,5.0862146924004845,1.5329249566854077
1,5.0862146924004845,7,1.878616390791625,-3.2075983016088596
2,1.878616390791625,7,2.0121990572392567,0.13358266644763184
3,2.0121990572392567,7,7.983778918998975,5.971579861759718
4,7.983778918998975,7,3.2375084566602164,-4.746270462338758
5,3.2375084566602164,7,2.036606640729409,-1.2009018159308074
6,2.036606640729409,7,4.0706811013703925,2.0340744606409835
7,4.0706811013703925,7,7.1321161788707315,3.061435077500339
8,7.1321161788707315,7,18.057993797562656,10.925877618691924
9,18.057993797562656,7,13.302589469816946,-4.75540432774571
10,13.302589469816946,7,5.264049238967007,-8.03854023084994
11,5.264049238967007,7,3.095941643369846,-2.168107595597161
