CareerAge,W1_log1p,W1_raw
0,0.17310185111455761,0.7953370113922683
1,0.16933665727975294,1.192678167101827
2,0.14687866065469737,1.0630579489750158
3,0.1255301629117853,0.7809343682548909
4,0.12946472905869316,0.8838825464529498
5,0.12931415818101621,0.9903462057045058
6,0.14009415970670142,1.0284620285348174
7,0.14298835114097747,1.2467209937936208
8,0.14602605235114746,1.3873235008704918
9,0.1320850649281094,1.21462762966596
10,0.12025542515567571,1.0599747691702248
11,0.10719646138774078,0.9740947019228543
12,0.12312205572664786,1.1169969284834544
13,0.1174825076572742,1.0593103304334863
14,0.1343970144724226,1.1630069735656345
15,0.12451107801282019,1.1284868764067406
16,0.11891483867212135,1.07026888966675
17,0.10267687507483611,0.9777925028359166
18,0.1077308540458822,1.0174490633269744
19,0.12173162476258656,0.9794016760657053
20,0.12282795231949421,0.9878360115834122
