dblp_id,n_pos_years,mean_centered_log_q,shrinkage,scholar_effect
=Ccedil=etintemel:Ugur2001.0,16,-0.0076787347657422955,0.9416177225104666,0.09362088551874513
=Ouml=ren:Tuncer_I=1971.0,9,-0.07163515551381197,0.9007175456410074,0.036328276804612744
=Ouml=zsu:M=_Tamer1983.0,19,0.6715922072176983,0.95037855373854,0.7391181488582553
=Uuml=ng=ouml=r:Alper2002.0,7,-0.521415985218143,0.87587219111565,-0.355842443195115
Abadi:Daniel_J=nan,10,-0.08599617788179094,0.9097497645890994,0.022616315677103718
Abbeel:Pieter2008.0,9,0.5096954942329894,0.9007175456410074,0.5599429928504438
Abdel=Wahab:Hussein_M=1976.0,14,0.04402111076272371,0.933829282468052,0.14195952053762625
Abdelrahman:Tarek_S=1989.0,14,-0.445279465307319,0.933829282468052,-0.3149636853250662
Abi=Antoun:Marwan2010.0,7,-0.7679791979300087,0.87587219111565,-0.5718003045615708
Abidi:Mongi_A=1986.0,15,0.3028932751839547,0.9379670124838757,0.3849552186863758
Abu=Mostafa:Yaser_S=1983.0,17,-0.22020125498633253,0.9448626184858742,-0.10720861611963646
Abukmail:Ahmed2005.0,5,-1.2417521294690868,0.8344412457257825,-0.9353178755362025
Ackerman:Mark_S=1994.0,19,0.153848880554189,0.95037855373854,0.24706599485600883
Adali:Sibel1996.0,20,-0.5603727137889025,0.9527423764702917,-0.4330395127837202
Adali:T=uuml=lay1992.0,19,0.6188580465830098,0.95037855373854,0.6890007335416442
Adams:Julie_A=1995.0,15,-0.08736934985144268,0.9379670124838757,0.018901750197809097
Addario=Berry:Louigi2006.0,7,-0.9859297651084622,0.87587219111565,-0.7626971453910616
Adleman:Leonard_M=1976.0,18,0.12101310471205633,0.9477658031901262,0.21554340064457822
Adrion:W=_Richards1971.0,3,-0.035148146656571955,0.7514966766417657,0.07443760285809413
Aduri:Pavan2001.0,1,-1.3904575242374588,0.5019995591135796,-0.5971577458727385
Agah:Arvin1994.0,18,-0.04927465473166898,0.9477658031901262,0.054150485541948935
Aggarwal:Sudhir1975.0,11,-0.3062506925065494,0.9172756136865439,-0.18006497365024882
Agrawal:Divyakant1987.0,21,1.341673517034722,0.9548912283837575,1.3820035910318673
Agrawal:Gagan1996.0,21,0.927592652972742,0.9548912283837575,0.9866014060975153
Agrawal:Kunal2009.0,8,-0.09191436525763731,0.8896763887089733,0.019077277707733056
Agrawala:Ashok_K=1970.0,18,0.726489137595659,0.9477658031901262,0.7893928792628772
Agu:Emmanuel2001.0,13,-0.300839914942535,0.9291001116184515,-0.1786590802917694
Ahmad:Yanif2009.0,5,-1.1982255717896169,0.8344412457257825,-0.8989975205239906
Ahmed:Amal2004.0,8,-0.8196100540467104,0.8896763887089733,-0.6283363947732183
Ahn:Gail=Joon2000.0,17,0.8834662095325986,0.9448626184858742,0.9356055143433863
Ahn:Luis_von2005.0,7,-0.4331762794765899,0.87587219111565,-0.2785557387838606
Aiken:Alexander1988.0,21,0.32808481774327364,0.9548912283837575,0.4141366328895611
Akella:Aditya2005.0,11,0.5210803472197678,0.9172756136865439,0.5788256135366352
Akella:Srinivas1996.0,17,-0.7471015930766667,0.9448626184858742,-0.605057049248762
Al=Fuqaha:Ala_I=2004.0,13,-0.10231320076509962,0.9291001116184515,0.005792112009730246
Alaghband:Gita1986.0,10,-0.6830222736124575,0.9097497645890994,-0.5205280343674193
Albonesi:David_H=1996.0,20,-0.2699838320180275,0.9527423764702917,-0.15637371946478623
Aldrich:Jonathan2003.0,14,0.32682985150677485,0.933829282468052,0.40605460398233684
Alekseyev:Max_A=2007.0,8,-0.6316003794496762,0.8896763887089733,-0.4610686264353798
Alexander:Perry1992.0,19,-0.3831593965681661,0.95037855373854,-0.26329515490116007
Alfaro:Luca_de1998.0,16,0.019935812251697632,0.9416177225104666,0.11962323238946512
Alhalabi:Bassem_A=1995.0,4,-0.8828470232012127,0.8012766545372332,-0.6065533909581975
Ali:Adel_Lofty1987.0,2,-1.2181857373922098,0.6684416863741822,-0.7134348103588001
Ali:Hesham_H=1988.0,13,0.14835264564264858,0.9291001116184515,0.23868577788610273
Aliaga:Daniel_G=1999.0,14,-0.030474937380777938,0.933829282468052,0.07239292935307466
Allbeck:Jan_M=2009.0,6,-0.6189488929809642,0.8581194434038536,-0.430280761279631
Allen:James_F=1979.0,19,0.32068944787478404,0.95037855373854,0.40562769193107345
Allen:William_H=2003.0,12,-0.8077049484337909,0.9236429298989315,-0.6451796468046267
Allender:Eric1985.0,21,0.68589719796213,0.9548912283837575,0.755808536167661
Allison:Robert_S=1998.0,14,-0.5743164782023908,0.933829282468052,-0.43546222648869193
