CareerAge,W1_log1p,W1_raw
0,0.16980534330010025,0.8015540246883452
1,0.1795440323542017,1.318054417500134
2,0.14399608854469292,1.2019867810237719
3,0.1254360746381379,0.9738421571623571
4,0.1269922909029661,1.122028832234912
5,0.13008349156586219,1.3147107260735127
6,0.14118119641665672,1.3528576307378262
7,0.14852167337497446,1.5735043555234853
8,0.16826071556384112,1.8019647956302016
9,0.16189596700035785,1.7391000661539424
10,0.14767451972932416,1.5774708735510126
11,0.14067812308366062,1.5211486866571329
12,0.15798725705141362,1.6793436190030118
13,0.16103594354687661,1.6582588971008234
14,0.17927231543523536,1.7624399185721291
15,0.1785409358294882,1.7315242220402223
16,0.16334014279863385,1.636181717577567
17,0.1473059177373186,1.565424214666313
18,0.15044823570304214,1.5785906435380257
19,0.1614592233606214,1.5027363315829594
20,0.17289086206253118,1.5646713513284953
