CareerAge,zhang_arw4
0,1.0
1,0.387491507998915
2,0.20271199329511994
3,0.10633619127136192
4,0.04565878910458789
5,0.029133757515337574
6,0.013933213579332134
7,-0.008853545872535458
8,0.00192773099527731
9,-0.003257991452579915
10,-0.014991109853911099
11,0.014538370945383709
12,0.011033224430332243
13,0.012568822889688228
14,0.003782592697825927
15,-0.008044737764447378
16,-0.02216918664569187
17,-0.021362689353626896
18,-0.00024965745849657455
19,-0.000567486593674866
20,-0.01327026097270261
